"wavenumber","intensity"
1350,0.103950345480744
1351.242,0.10351544088391
1352.486,0.103154678909875
1353.733,0.102917054747114
1354.982,0.102683745559173
1356.233,0.10245747433109
1357.486,0.102096099974188
1358.742,0.101692422457473
1360,0.101298397699691
1361.26,0.100890932169875
1362.523,0.100298743617121
1363.788,0.0997181913478398
1365.056,0.0991468724611611
1366.326,0.0988371824213422
1367.598,0.0988164448967412
1368.872,0.098795921313568
1370.149,0.0987757581245143
1371.429,0.0995717979545118
1372.71,0.100513224193051
1373.995,0.101440239172973
1375.281,0.10235054568196
1376.57,0.103239926400815
1377.861,0.10411234641984
1379.155,0.104967338427494
1380.451,0.10515674369596
1381.75,0.104866606851085
1383.051,0.104581693868367
1384.354,0.104302424146615
1385.661,0.103472681719167
1386.969,0.102622827273434
1388.28,0.10178559074896
1389.593,0.101278241701365
1390.909,0.101474364017834
1392.228,0.10166827727043
1393.548,0.101858976017385
1394.872,0.102836450178718
1396.198,0.10416716274231
1397.526,0.105477254425163
1398.857,0.106730136055061
1400.191,0.10724253217204
1401.527,0.107745638674068
1402.865,0.108238371382
1404.207,0.107820829474428
1405.55,0.106159234794646
1406.897,0.104529077253916
1408.246,0.102930582382207
1409.597,0.10080796852137
1410.951,0.0985708015281448
1412.308,0.0963718132719395
1413.667,0.0944767820071162
1415.029,0.0940883289569563
1416.394,0.0937057521754659
1417.761,0.0933300522563014
1419.13,0.0937626287068587
1420.503,0.0949174906050978
1421.878,0.0960505411404647
1423.256,0.0971620050677911
1424.636,0.0977424517769222
1426.02,0.0982479684704108
1427.405,0.0987437435915148
1428.794,0.0988378514671175
1430.185,0.0978173961223318
1431.579,0.0968163991298879
1432.976,0.0958336144358372
1434.375,0.0948634601884244
1435.777,0.0939063756377831
1437.182,0.0929667330138363
1438.59,0.0920426705290853
1440,0.0927690192749279
1441.413,0.0934907214158533
1442.829,0.094198933765927
1444.248,0.095199774810631
1445.669,0.0967097793671019
1447.094,0.0981896789049924
1448.521,0.0996390557275403
1449.951,0.100321810001887
1451.384,0.100723251127573
1452.819,0.1011162418945
1454.258,0.101379566317687
1455.699,0.10055676258855
1457.143,0.0997493959442877
1458.59,0.0989567472978552
1460.04,0.0983204416320442
1461.493,0.0978557762523433
1462.948,0.0973994477264903
1464.407,0.0969510025488325
1465.868,0.097461618733631
1467.333,0.0981464808673591
1468.8,0.0988185870820839
1470.27,0.0995038967881513
1471.744,0.100275063487284
1473.22,0.101030303376412
1474.699,0.101770512243533
1476.181,0.10192300444396
1477.666,0.101651314323841
1479.154,0.101384389485883
1480.645,0.101123330544115
1482.139,0.100318552136223
1483.636,0.0994959209344626
1485.137,0.0986878237242231
1486.64,0.0980773547159945
1488.146,0.0978805180394801
1489.655,0.0976875167308595
1491.168,0.097497735991853
1492.683,0.0978039687328275
1494.202,0.0983351132478974
1495.723,0.0988562045644177
1497.248,0.0993579947270979
1498.776,0.0996582382051529
1500.307,0.0999530047450772
1501.841,0.100241816031726
1503.378,0.100255190911691
1504.918,0.099891830658558
1506.462,0.0995357660554907
1508.008,0.0991858469351853
1509.558,0.098856967216469
1511.111,0.0985380673763126
1512.667,0.0982252643634918
1514.227,0.0980307573962368
1515.79,0.0984600745399555
1517.355,0.0988817432480644
1518.925,0.0992958023345075
1520.497,0.0999299066550006
1522.073,0.100759912288338
1523.652,0.101574323935743
1525.234,0.102374508935982
1526.819,0.102797395654856
1528.408,0.103168556169316
1530,0.103532857084009
1531.595,0.103724079300157
1533.194,0.103437309935953
1534.796,0.103155392857536
1536.402,0.102878722308838
1538.011,0.102548767240359
1539.623,0.102190183175896
1541.238,0.101838300716241
1542.857,0.101492692103915
1544.48,0.10155343931524
1546.105,0.101615223260317
1547.734,0.101675873476927
1549.367,0.101842714057738
1551.003,0.102192818881055
1552.643,0.10253721333301
1554.286,0.102875523119947
1555.932,0.103159232955242
1557.582,0.103420296047357
1559.236,0.103677239828834
1560.893,0.103916681681237
1562.553,0.104032234527045
1564.217,0.104145982432654
1565.885,0.104257784027275
1567.556,0.10441410451218
1569.231,0.104618939465287
1570.909,0.104820755505797
1572.591,0.105019052892587
1574.277,0.105371856980203
1575.966,0.10574887473662
1577.659,0.10611939609594
1579.355,0.106485262129431
1581.055,0.106851500760235
1582.759,0.107211655400671
1584.466,0.107565918015312
1586.177,0.10781932631112
1587.892,0.107998498009663
1589.61,0.10817488870209
1591.333,0.108348646699689
1593.059,0.10838419740439
1594.788,0.108411251345451
1596.522,0.10843771318524
1598.259,0.108473026475596
1600,0.108528273511755
1601.745,0.108582470257214
1603.494,0.108635825953158
1605.246,0.10876672048237
1607.002,0.108932324255461
1608.762,0.109095372344308
1610.526,0.109256655404527
1612.294,0.109431355848627
1614.066,0.109603508185463
1615.842,0.109773300219935
1617.621,0.109913187563393
1619.405,0.110013056804592
1621.192,0.110111507066994
1622.984,0.110208488306416
1624.779,0.110314663303816
1626.578,0.110422151969696
1628.381,0.110528096390631
1630.189,0.110654253503305
1632,0.110898157429131
1633.815,0.111138046569063
1635.635,0.111374577527368
1637.458,0.111671849355084
1639.286,0.112023457488045
1641.117,0.112370091397573
1642.953,0.112711432926491
1644.793,0.113019588632731
1646.637,0.113320354267487
1648.485,0.113617558292044
1650.337,0.113873853878868
1652.194,0.114021447844838
1654.054,0.11416736397706
1655.919,0.11431192174774
1657.788,0.114379504436663
1659.661,0.114401668564497
1661.539,0.11442343746606
1663.42,0.114445268794384
1665.306,0.114405422333638
1667.196,0.114365810610927
1669.091,0.114326474052113
1670.99,0.114273198923138
1672.893,0.114194905135245
1674.801,0.114117710353395
1676.712,0.1140414210253
1678.629,0.113973879812115
1680.549,0.113909988341864
1682.474,0.113846873034348
1684.404,0.113796769532803
1686.338,0.113858982101661
1688.276,0.113920251058771
1690.219,0.113981042621488
1692.166,0.114118438023031
1694.118,0.114341556775687
1696.074,0.114562057497016
1698.035,0.114779904801144
1700,0.11500229842714
1701.97,0.115222832819418
1703.944,0.11544058341418
1705.923,0.115618492915041
1707.907,0.115652078555932
1709.895,0.11568502690672
1711.888,0.115717496730706
1713.886,0.115670290899302
1715.888,0.115565519003319
1717.895,0.115462328229182
1719.906,0.115360870631558
1721.923,0.115343759090679
1723.944,0.115332174909643
1725.969,0.115320565249686
1728,0.115367529621513
1730.035,0.115542276608835
1732.076,0.115714354649956
1734.12,0.11588381687353
1736.17,0.116074227836147
1738.225,0.116272970055169
1740.284,0.116468652018788
1742.349,0.116655237247493
1744.418,0.11671897580306
